Ranks,School Name,20 Year Net ROI,Total 4 Year Cost,Graduation Rate,Typical Years to graduate,Average Loan Amount
1,Massachusetts Institute of Technology (Private),"1,182,000","276,000",95,4,"34,300"
2,Harvey Mudd College (Private),"1,164,000","303,000",92,4,"23,500"
3,United States Merchant Marine Academy (Service Academy),"1,153,000","27,200",80,4,"17,400"
4,United States Military Academy (Service Academy),"1,124,000","27,200",85,4,"17,400"
5,SUNY Maritime College (InState),"1,039,000","103,000",75,5,"26,500"
6,United States Naval Academy (Service Academy),"1,028,000","27,200",92,4,"17,400"
7,Colorado School of Mines (InState),"1,017,000","138,000",83,4,"34,900"
8,SUNY Maritime College (OutofState),"1,000,000","142,000",75,5,"26,500"
9,United States Air Force Academy (Service Academy),"970,000","27,200",85,4,"17,400"
10,Colorado School of Mines (OutofState),"939,000","216,000",83,4,"34,900"
11,The California Maritime Academy (InState),"926,000","106,000",67,4,"27,400"
12,California Institute of Technology (Private),"921,000","283,000",94,4,"26,400"
13,Georgia Institute of TechnologyMain Campus (InState),"913,000","115,000",90,5,"28,100"
14,Stevens Institute of Technology (Private),"899,000","274,000",85,5,"25,100"
15,Princeton University (Private),"895,000","275,000",98,4,"15,600"
16,Albany College of Pharmacy and Health Sciences (Private),"880,000","195,000",70,4,"36,000"
17,The California Maritime Academy (OutofState),"879,000","153,000",67,4,"27,400"
18,Stanford University (Private),"877,000","282,000",94,4,"32,800"
19,Harvard University (Private),"839,000","282,000",97,4,"23,100"
20,Webb Institute (Private),"834,000","280,000",81,4,"12,200"
21,Babson College (Private),"831,000","278,000",93,4,"36,300"
22,RoseHulman Institute of Technology (Private),"830,000","266,000",86,4,"52,100"
23,Georgia Institute of TechnologyMain Campus (OutofState),"830,000","197,000",90,5,"28,100"
24,University of CaliforniaBerkeley (InState),"828,000","151,000",93,4,"24,000"
25,Massachusetts Maritime Academy (InState),"822,000","106,000",76,4,"34,100"
26,Kettering University (Private),"817,000","234,000",63,5,"46,600"
27,Worcester Polytechnic Institute (Private),"811,000","265,000",89,4,"51,300"
28,Missouri University of Science and Technology (InState),"806,000","89,800",66,5,"29,200"
29,University of Pennsylvania (Private),"805,000","293,000",96,4,"37,700"
30,Cooper Union for the Advancement of Science and Art (Private),"787,000","262,000",91,4,"27,800"
31,United States Coast Guard Academy (Service Academy),"782,000","27,200",89,4,"17,400"
32,Columbia University in the City of New York (Private),"765,000","303,000",95,4,"42,000"
33,Carnegie Mellon University (Private),"765,000","285,000",90,4,"26,500"
34,Yale University (Private),"763,000","291,000",97,4,"20,200"
35,New Mexico Institute of Mining and Technology (InState),"760,000","87,400",50,5,"24,100"
36,Massachusetts Maritime Academy (OutofState),"755,000","172,000",76,4,"34,100"
37,California Polytechnic State UniversitySan Luis Obispo (InState),"752,000","110,000",82,5,"23,500"
38,Maine Maritime Academy (InState),"740,000","110,000",71,4,"52,700"
39,Missouri University of Science and Technology (OutofState),"739,000","157,000",66,5,"29,200"
40,Claremont McKenna College (Private),"735,000","291,000",91,4,"18,800"
41,New Jersey Institute of Technology (InState),"729,000","148,000",67,5,"30,400"
42,Lehigh University (Private),"725,000","269,000",90,4,"34,200"
43,Cornell University (Private),"722,000","288,000",95,4,"28,300"
44,Rensselaer Polytechnic Institute (Private),"720,000","284,000",85,4,"40,800"
45,Santa Clara University (Private),"714,000","282,000",91,4,"30,900"
46,University of CaliforniaBerkeley (OutofState),"714,000","264,000",93,4,"24,000"
47,Michigan Technological University (InState),"708,000","118,000",70,5,"33,700"
48,Virginia Military Institute (InState),"707,000","124,000",79,4,"25,500"
49,University of VirginiaMain Campus (InState),"705,000","131,000",95,4,"31,600"
50,New Mexico Institute of Mining and Technology (OutofState),"704,000","144,000",50,5,"24,100"
51,California Polytechnic State UniversitySan Luis Obispo (OutofState),"703,000","159,000",82,5,"23,500"
52,Colgate University (Private),"694,000","284,000",91,4,"29,200"
53,University of CaliforniaSan Diego (InState),"691,000","131,000",87,4,"24,500"
54,Maine Maritime Academy (OutofState),"686,000","164,000",71,4,"52,700"
55,Dartmouth College (Private),"685,000","293,000",95,4,"21,600"
56,Georgetown University (Private),"684,000","291,000",95,4,"27,700"
57,Brown University (Private),"683,000","290,000",96,4,"36,800"
58,Rice University (Private),"678,000","256,000",93,4,"28,800"
59,Capitol Technology University (Private),"678,000","163,000",52,4,"51,700"
60,South Dakota School of Mines and Technology (InState),"673,000","100,000",49,5,"29,400"
61,New Jersey Institute of Technology (OutofState),"668,000","209,000",67,5,"30,400"
62,Washington and Lee University (Private),"668,000","274,000",94,4,"26,400"
63,Clarkson University (Private),"660,000","268,000",78,4,"40,200"
64,Brigham Young UniversityProvo (Private),"660,000","74,400",78,6,"20,800"
65,San Jose State University (InState),"659,000","114,000",64,5,"23,600"
66,South Dakota School of Mines and Technology (OutofState),"656,000","117,000",49,5,"29,400"
